pulocationid,dolocationid,tmode,duration,price,w10000,w15000,w25000,w35000,w50000,w75000,w100000,w125000,w150000,w200000
3,7,8,39.20134576,12.7216,0,46,46,23,46,115,161,184,69,46
3,7,3,47.88095238,43.15714286,0,0,0,0,0,0,0,0,0,0
3,18,3,15.24,12.9,115,92,184,115,115,368,437,69,161,92
3,18,5,65.06666667,0.0,138,253,414,138,230,437,667,483,207,207
3,18,8,16.13537898,7.432,552,690,874,782,437,1817,2737,1564,828,598
3,20,5,65.18333333,0.0,0,0,0,23,23,69,23,69,23,69
3,20,2,36.0,2.75,184,253,322,414,207,621,1196,552,299,529
3,20,8,11.63387492,6.5777600000000005,207,138,253,253,207,621,713,575,184,391
3,24,2,62.0,8.25,230,23,736,483,437,1058,1288,1311,920,943
3,31,8,11.29270264,6.4565645410000005,0,46,0,0,0,69,0,92,0,0
3,31,2,34.0,2.75,0,0,46,23,23,23,46,69,23,23
3,32,2,11.0,2.75,230,552,828,483,276,1311,2001,1081,920,920
3,32,3,6.216111111,6.183333332999999,46,230,115,184,92,322,529,391,138,253
3,32,5,25.06666667,0.0,3243,4577,7889,6394,5014,13455,19688,14099,9522,10787
3,41,2,51.0,5.5,92,115,483,598,115,782,1357,644,483,529
3,41,8,32.4974848,12.25344,0,46,46,69,69,115,138,184,92,138
3,46,2,37.0,5.5,0,0,23,69,0,69,23,115,230,69
3,46,3,12.03333333,16.0,0,0,0,23,0,0,0,0,0,0
3,46,8,12.43150749,8.251407919,0,0,46,0,23,69,46,69,69,92
3,51,5,41.08333333,0.0,483,1104,1518,1840,943,3818,5244,3680,3151,2484
3,51,3,11.45246914,10.53703704,46,69,161,138,23,322,483,230,253,322
3,60,8,17.45857267,7.663810435,46,23,115,46,46,414,460,414,299,230
3,60,5,99.21666667,0.0,0,0,0,23,0,0,23,0,0,23
3,68,8,55.35259857,30.78288,23,0,23,0,0,0,0,0,23,0
3,69,8,28.58755649,9.510491429,69,46,92,46,115,414,782,391,460,529
3,69,3,28.34722222,23.34,0,0,0,0,0,46,23,23,23,0
3,78,8,21.92488029,7.591296000000001,69,92,184,138,92,391,345,322,46,207
3,78,2,37.0,5.5,92,92,161,69,69,414,644,299,92,230
3,81,8,8.893033232999999,5.916676923,644,575,506,851,460,1702,2668,1380,1104,759
3,81,5,27.41666667,0.0,1058,1265,1219,1564,920,2507,4416,3450,2001,1541
3,90,8,61.48509615,30.41098667,0,0,23,0,0,0,0,0,23,0
3,90,2,74.0,5.5,0,0,46,23,0,115,276,92,161,322
3,92,2,45.0,5.5,46,23,138,92,69,253,667,230,184,230
3,92,8,25.22494213,11.43779006,23,23,69,46,23,161,345,345,184,207
3,94,8,22.57991232,7.3104,115,184,138,161,92,368,483,230,138,161
3,100,2,64.0,5.5,23,0,184,69,0,207,207,115,115,23
3,112,8,44.01712963,14.5466079,23,23,0,46,69,138,161,138,138,161
3,136,2,45.0,5.5,253,575,414,345,621,782,1288,1403,414,575
3,137,8,53.32624521,28.85450667,0,0,0,0,0,0,23,23,23,23
3,137,2,78.0,5.5,23,0,69,46,23,92,345,138,92,207
3,137,3,58.88333333,50.0,0,0,0,0,0,0,0,0,0,23
3,142,8,42.83639144,23.6336,23,23,0,46,0,46,92,92,23,23
3,142,2,63.0,5.5,184,46,207,230,184,713,920,644,368,368
3,143,8,45.13696237,23.49306695,0,0,0,0,0,0,23,0,0,0
3,145,2,73.0,5.5,0,0,46,46,0,253,322,138,69,207
3,147,2,31.0,2.75,0,0,0,0,23,46,46,23,23,23
3,148,2,79.0,5.5,0,0,69,0,69,138,69,138,92,115
3,148,8,53.85681818,31.12862102,0,0,23,0,0,0,0,0,23,0
3,152,3,49.65833333,37.98,0,23,23,46,0,92,115,46,92,46
3,161,2,65.0,5.5,0,0,23,0,23,46,23,115,0,69
3,167,8,22.26775174,8.61304,69,161,230,230,46,391,552,621,345,184
3,167,3,19.8125,17.2725,0,23,23,46,0,0,92,0,23,0
3,168,8,26.53719048,9.653371429,69,46,69,46,46,184,207,253,69,161
3,170,2,66.0,5.5,0,69,115,23,161,322,644,437,322,736
3,170,3,74.60833333,51.25,0,0,0,0,0,0,0,0,0,23
3,174,5,59.0,0.0,69,230,253,253,115,253,184,230,299,92
3,174,8,15.96878544,6.656365714,276,276,276,414,368,782,966,828,598,460
3,182,2,45.0,5.5,0,23,0,69,92,23,92,0,0,23
3,182,5,76.33333333,0.0,0,23,0,0,0,0,0,0,0,0
3,182,8,14.53284607,7.4624,0,46,0,23,23,46,0,23,0,0
3,183,5,54.46666667,0.0,621,391,138,667,345,1771,2944,1357,1817,1955
3,183,2,26.0,5.5,713,575,253,897,345,2323,4485,1702,2047,2139
3,184,8,7.396366398,6.6780800000000005,23,46,0,46,0,0,0,0,23,0
3,184,5,91.88333333,0.0,23,23,23,46,0,0,0,0,0,0
3,185,2,22.0,2.75,1058,805,2185,1541,1449,3726,6187,4255,3404,3496
3,185,3,9.525641026,8.538461538,69,92,69,138,69,138,368,322,230,414
3,185,8,8.718324916,5.919950769,1012,966,2300,1863,1656,5451,7797,5727,3726,4508
3,208,2,37.0,8.25,69,828,1288,368,1012,2277,2967,2484,1679,1587
3,211,2,76.0,5.5,46,0,138,92,23,230,391,345,345,368
3,212,2,52.0,5.5,46,46,46,69,69,23,46,69,0,0
3,212,3,15.52222222,16.16666667,0,23,0,23,0,0,0,0,0,0
3,212,8,15.85172967,7.721813332999999,23,23,23,46,0,23,46,0,23,23
3,213,3,14.91666667,16.25,23,23,46,23,0,46,92,69,46,0
3,213,2,52.0,5.5,299,414,414,598,483,1219,1909,1771,828,713
3,213,8,14.83167955,7.9313199999999995,230,276,437,207,529,874,1127,828,506,276
3,230,2,59.0,5.5,0,0,23,46,46,69,253,368,368,230
3,234,3,52.35555556,50.83333333,0,0,0,0,0,0,0,23,23,0
3,235,3,25.38333333,22.274,0,23,46,0,23,69,0,92,23,69
3,235,5,114.96666670000002,0.0,0,0,0,0,0,0,23,0,0,0
3,235,2,52.0,5.5,690,851,575,483,506,828,1564,874,897,598
3,239,8,41.83084936,24.5152,0,23,46,23,23,184,230,276,161,184
3,239,2,61.0,8.25,184,253,437,322,391,1794,2185,1771,1403,1426
3,240,2,57.0,2.75,0,0,0,0,0,0,0,0,0,0
3,241,3,21.4,18.0,46,0,0,0,0,0,23,23,0,23
3,241,2,32.0,2.75,161,138,460,253,69,713,1104,667,483,759
3,242,5,61.48333333,0.0,322,276,598,713,920,2599,3427,2231,1840,2507
3,242,8,12.12453744,6.509461333,736,690,1748,1357,943,3634,4945,4347,2898,3611
3,242,3,12.9703125,11.078125,69,46,92,138,23,184,345,253,161,299
3,243,2,60.0,8.25,207,138,529,391,230,1081,1403,1863,897,874
3,246,8,45.09105505,29.9690147,0,0,23,0,23,46,0,0,0,23
3,248,2,42.0,5.5,138,46,0,46,23,23,23,92,0,0
3,250,3,15.25666667,15.1,46,69,0,23,23,138,92,46,0,69
3,250,2,36.0,8.25,621,1081,1288,1587,1150,1610,3220,1081,1380,874
3,254,5,41.9,0.0,138,138,299,460,391,828,1265,1242,529,782
3,254,2,35.0,2.75,2300,2001,2001,2898,1242,3864,4991,2783,1863,1288
3,259,8,17.41298763,7.29824,0,115,138,138,138,460,621,299,230,276
3,259,2,29.0,5.5,46,299,276,184,161,345,437,391,69,253
3,259,5,76.3,0.0,0,0,23,0,0,0,0,0,23,23
3,263,2,51.0,2.75,23,0,0,0,23,138,184,138,253,207
3,263,8,38.80222222,22.15571655,0,0,0,0,23,0,23,0,0,23
4,6,8,26.44722222,14.10024,0,0,0,0,23,0,46,0,46,46
4,13,2,45.0,2.75,0,184,460,161,115,598,230,92,437,299
4,13,3,16.86829268,14.96806039,0,0,46,23,23,23,0,0,69,46
4,20,2,75.0,8.25,0,0,0,0,0,0,23,0,0,0
4,21,2,73.0,5.5,46,0,138,138,92,414,345,414,253,368
4,21,8,35.28098291,12.82090667,0,0,0,0,46,0,69,69,23,46
4,22,8,33.60895833,12.73541818,0,69,69,23,92,299,253,207,92,115
4,22,2,72.0,5.5,184,230,598,437,920,1357,2277,1863,1610,2162
4,23,8,33.00833333,15.34208,0,0,0,0,0,0,0,23,23,0
4,24,3,27.34848485,25.82969697,0,0,0,0,23,0,0,0,0,0
4,25,2,39.0,5.5,0,0,0,0,0,0,0,23,23,0
4,26,2,67.0,5.5,23,69,23,46,0,0,46,23,23,69
4,26,8,28.26858211,11.29627429,0,0,0,23,0,23,0,23,0,0
4,26,3,29.49047619,32.42857143,0,0,0,0,0,0,0,0,23,0
4,33,2,43.0,5.5,0,0,0,0,0,0,0,0,0,0
4,37,8,21.60451208,8.014827454,23,92,0,92,0,0,23,23,0,46
4,37,3,21.06980676,19.04347826,0,0,0,23,0,23,23,0,23,23
4,37,2,46.0,5.5,207,1058,391,299,115,299,230,46,23,92
4,41,8,24.68750205,9.456300772999999,23,23,23,23,23,0,23,0,23,0
4,41,2,49.0,8.25,92,138,92,92,115,230,115,69,46,69
4,41,3,24.60533708,24.95404494,0,0,0,0,0,0,0,23,0,0
4,43,3,23.48761639,19.84916201,23,69,0,0,23,46,0,0,0,23
4,43,2,62.0,5.5,230,184,115,138,46,230,161,230,161,207
4,43,8,23.53874039,18.03570824,46,0,0,0,0,23,0,0,23,0
4,44,8,49.45,23.0576,0,0,0,0,23,46,23,69,138,138
4,44,2,126.0,11.0,0,46,207,69,92,437,805,368,1449,1265
4,45,3,15.57175516,9.855088496,207,690,529,207,115,345,230,184,207,46
4,45,2,26.0,2.75,1863,5957,3335,2576,828,2277,1840,1472,575,874
4,45,5,44.71666667,0.0,644,2001,1219,736,299,943,966,529,299,345
4,47,2,80.0,8.25,0,0,0,0,0,23,23,0,0,0
4,48,8,23.422272800000002,22.30291751,0,23,23,0,23,46,0,0,46,92
4,50,3,22.95574136,18.409699,0,0,0,0,0,23,0,0,0,0
4,55,2,85.0,2.75,0,23,0,46,0,0,69,0,0,0
4,55,8,40.85242375,15.25478857,0,0,0,23,0,0,0,0,0,0
4,60,2,64.0,5.5,0,23,46,23,23,138,69,23,46,23
4,60,8,29.01666667,12.02682182,0,0,0,0,23,0,0,0,0,0
4,65,8,13.83712485,7.522074074,0,0,0,0,0,0,0,23,0,0
4,68,2,33.0,8.25,46,46,115,23,0,69,0,23,23,92
4,68,5,68.56666667,0.0,0,23,0,0,0,0,0,0,0,0
4,69,3,26.18333333,30.00466667,0,0,0,0,0,0,0,0,0,0
4,69,8,24.84384328,11.01897481,0,0,0,0,0,0,0,0,0,0
4,75,8,20.711191600000003,8.430694862000001,0,115,92,69,0,0,23,46,0,0
4,75,3,19.60551181,21.71889764,0,0,46,23,0,23,0,0,0,0
4,78,2,78.0,8.25,0,23,69,23,0,23,0,0,0,0
4,79,8,6.418395114,20.46031418,943,1794,1219,851,368,1196,1311,1403,1403,1311
4,79,5,14.68333333,0.0,10005,16767,13800,11224,4278,11684,18009,15111,12719,14674
4,82,8,22.51447262,10.18417021,0,0,0,0,0,23,23,0,0,0
4,82,3,21.77246377,25.79782609,0,0,0,0,0,0,0,0,0,0
4,84,3,44.98333333,71.5,0,0,0,0,0,0,0,0,23,0
4,84,8,40.75,20.41643564,0,0,0,23,23,23,0,0,23,0
4,86,2,90.0,8.25,23,69,115,299,161,782,1035,529,1081,667
4,86,8,59.26666667,21.22144,23,46,23,23,0,161,161,69,0,46
4,87,3,12.30821753,11.91717621,23,0,23,0,0,46,0,0,23,0
4,87,8,12.22647456,21.82224068,46,23,69,0,0,0,23,0,138,23
4,87,5,63.46666667,0.0,0,0,0,23,0,46,0,0,0,23
4,88,5,67.81666667,0.0,0,0,0,23,0,23,0,0,0,69
4,88,8,11.76260918,21.96079181,23,0,138,0,23,69,138,276,115,138
4,88,2,34.0,5.5,391,322,575,138,138,874,1081,1380,2185,1426
4,89,2,58.0,5.5,92,207,23,115,46,207,115,69,184,23
4,89,8,33.47345021,10.565696,0,69,0,0,0,0,0,0,0,0
4,90,3,15.19088306,10.40687161,23,161,23,69,0,46,46,115,46,46
4,90,2,37.0,2.75,667,621,437,552,92,713,414,713,414,575
4,90,8,14.90081669,21.23790359,23,138,46,138,23,92,161,69,69,46
4,92,2,77.0,8.25,345,414,115,253,46,161,207,322,69,115
4,92,3,30.24285714,38.57142857,23,0,0,0,0,23,0,0,0,0
4,92,8,30.59276478,12.96851556,69,69,46,0,23,23,0,23,46,23
4,97,5,104.1166667,0.0,0,0,0,0,0,0,0,0,0,0
4,97,8,27.07775253,7.816365498,0,92,23,23,46,0,23,92,69,69
4,100,8,21.99103518,21.83585708,0,0,0,0,0,23,46,0,0,0
4,107,8,9.615571000000001,20.72682122,184,184,115,92,0,184,92,69,161,92
4,109,8,49.93333333,18.25981234,0,0,0,0,0,0,23,23,0,23
4,112,3,15.50581597,15.9453125,0,0,0,0,0,0,0,23,0,0
4,112,2,39.0,8.25,0,23,46,23,23,0,46,23,0,23
4,113,8,10.29867516,20.76938671,207,598,552,230,46,184,552,299,115,368
4,113,2,17.0,2.75,1173,3220,2024,1403,506,1127,1633,1449,667,1173
4,114,8,9.584410913,20.679725100000002,161,207,92,207,69,299,253,322,92,253
4,114,2,28.0,2.75,805,851,713,1012,299,1242,1311,1725,1058,897
4,117,2,85.0,8.25,138,1334,2369,1219,805,2599,2369,2231,1196,345
4,117,8,56.56222222,20.81321143,23,92,161,207,69,322,230,184,115,92
4,118,3,23.33333333,67.5,0,0,0,0,0,0,23,23,0,0
4,118,8,30.75166667,16.78912,23,69,0,69,0,184,46,276,184,161
4,123,2,73.0,5.5,0,0,69,23,46,23,184,207,46,115
4,123,3,37.79444444,43.01333333,0,0,0,0,0,0,0,0,0,0
4,125,8,14.28192951,21.08147091,0,46,46,23,0,23,0,0,0,0
4,125,3,14.84938048,9.943336355,23,0,23,0,0,0,23,0,23,0
4,126,8,32.08862434,10.87708,0,0,0,0,0,0,23,0,0,0
4,127,2,66.0,5.5,0,0,23,0,0,0,0,0,0,0
4,130,2,73.0,5.5,23,46,69,161,23,46,23,92,69,46
4,130,8,34.39698734,13.567860000000001,0,0,0,0,23,23,0,23,0,23
4,132,2,99.0,8.25,276,299,138,391,115,207,299,276,138,299
4,137,3,9.52841985,7.879774731,46,161,115,69,0,69,23,23,115,69
4,137,8,9.888788392999999,20.94778156,46,115,138,69,0,207,138,0,161,115
4,137,2,26.0,5.5,529,828,460,276,115,598,345,253,414,92
4,140,8,18.10477803,17.16845721,0,0,0,0,0,23,23,0,0,0
4,140,2,45.0,5.5,0,46,46,0,46,69,23,46,92,46
4,141,2,42.0,5.5,0,138,92,69,92,92,138,161,115,115
4,141,8,16.89138716,17.25154419,0,23,0,0,0,0,46,23,0,0
4,142,8,24.62519798,17.92296899,0,0,0,0,0,23,0,0,0,0
4,142,3,23.14130191,19.12996633,0,0,23,0,0,0,0,0,0,0
4,142,2,42.0,5.5,0,23,46,46,23,92,92,46,23,23
4,143,3,27.39032922,21.58024691,0,23,69,46,0,23,23,69,23,0
4,143,2,49.0,5.5,23,575,92,230,276,230,230,207,0,46
4,144,8,10.88586247,20.776,253,276,92,207,92,184,299,184,115,138
4,144,5,41.61666667,0.0,483,782,368,575,322,989,920,736,529,529
4,144,2,28.0,5.5,1058,1242,690,644,667,506,1219,966,759,437
4,144,3,11.00581417,8.061413348,184,138,69,92,46,161,299,69,92,69
4,145,2,38.0,8.25,0,0,0,0,0,0,0,0,0,0
4,145,8,19.90259637,8.189457455,0,0,0,0,0,0,0,0,0,0
4,146,2,52.0,5.5,0,0,46,23,0,0,0,0,0,0
4,147,8,26.20106002,11.06110857,0,0,0,0,0,0,0,0,23,0
4,148,5,29.93333333,0.0,1610,7061,3680,1886,2438,2645,3197,1081,1265,1495
4,148,3,6.7445639989999995,5.713012777,184,598,345,161,115,161,253,46,92,69
4,149,3,35.65,39.5,0,0,0,0,23,0,23,0,23,23
4,149,8,39.70428571,12.83408,0,0,0,23,23,23,69,92,23,46
4,149,2,73.0,8.25,138,23,138,46,161,414,575,575,1265,1104
4,150,2,83.0,8.25,0,23,23,23,0,69,23,0,46,0
4,158,5,53.75,0.0,0,0,0,0,0,0,0,0,0,0
4,161,2,44.0,5.5,667,1334,736,529,253,851,1495,1495,851,1311
4,161,5,79.53333333,0.0,0,0,0,0,23,0,46,0,0,46
4,161,8,19.71484044,21.9471515,23,138,115,69,0,115,230,207,161,299
4,162,3,16.67680225,13.07118056,46,23,23,0,0,0,92,230,230,46
4,162,5,73.3,0.0,0,0,0,0,23,0,0,92,46,0
4,162,8,16.03840992,21.73144767,0,23,46,0,0,23,92,92,92,115
4,164,2,33.0,5.5,161,322,0,23,46,138,230,23,23,23
4,164,3,17.124973,12.74303305,0,46,0,23,0,0,0,0,0,0
4,168,3,20.15934343,24.65287879,0,0,0,23,0,23,23,23,46,0
4,168,2,52.0,5.5,92,115,299,115,299,230,966,1449,1035,874
4,168,8,23.19494503,9.758063729,0,23,23,92,0,23,23,161,138,115
4,170,8,15.33118283,21.34796419,138,92,115,69,69,184,92,184,92,621
4,170,2,33.0,5.5,1242,1518,1058,1679,805,1288,1587,2070,2254,3657
4,170,5,52.95,0.0,138,23,69,69,46,184,23,46,184,299
4,170,3,15.39715139,11.52549801,138,69,69,138,69,161,299,299,230,414
4,172,8,41.77222222,15.3968,0,0,0,0,0,23,23,0,0,0
4,172,2,79.0,8.25,23,0,23,0,23,115,69,69,46,253
4,178,2,63.0,5.5,0,23,92,46,115,115,92,0,0,115
4,178,8,43.88166667,11.58985143,0,23,0,0,0,23,0,0,0,0
4,181,3,22.51689498,21.80821918,0,0,0,0,23,0,0,0,0,0
4,186,3,16.01326016,12.7202439,0,115,23,0,0,23,23,0,0,0
4,186,2,33.0,5.5,207,299,391,253,69,299,299,437,253,299
4,201,8,43.06111111,20.59064,23,0,0,0,0,23,92,69,46,69
4,201,2,102.0,8.25,69,0,0,0,92,253,897,253,805,1012
4,209,8,11.38655188,21.66776242,0,23,0,0,23,0,0,0,0,23
4,209,3,11.43574635,11.75,23,0,46,23,0,69,23,0,0,0
4,210,2,76.0,11.0,23,46,138,46,23,115,230,230,46,46
4,210,3,32.25833333,51.0,0,0,0,0,0,0,0,23,0,0
4,210,8,35.88261494,15.226560000000001,0,0,0,0,0,0,0,23,23,23
4,211,8,11.99273885,20.87568302,0,0,0,0,0,0,23,0,0,0
4,211,5,44.3,0.0,0,23,0,0,0,46,0,23,0,0
4,211,2,35.0,2.75,0,0,0,23,0,23,23,23,23,23
4,214,2,76.0,8.25,0,0,23,0,0,69,207,161,161,115
4,217,2,42.0,5.5,138,851,322,138,92,253,207,92,23,184
4,217,3,11.95555556,14.05555556,69,138,23,0,0,23,23,0,0,0
4,217,5,78.18333333,0.0,0,138,46,69,0,23,23,0,0,23
4,217,8,12.7529691,6.914331429,46,92,0,0,23,0,46,23,0,0
4,220,3,38.9,43.50666667,0,23,0,23,0,0,0,0,0,0
4,220,8,35.12021277,13.40864,0,207,69,0,23,23,46,69,23,23
4,224,8,6.447855284,20.47565474,23,46,23,92,0,23,46,69,0,0
4,224,3,6.272554003,5.241385006000001,92,69,23,0,0,0,23,0,0,23
4,226,2,54.0,11.0,23,46,0,0,0,46,69,0,0,23
4,229,8,15.78075676,21.72635393,0,0,0,0,0,0,0,23,0,0
4,229,2,38.0,5.5,23,0,23,23,23,92,46,0,23,23
4,229,3,15.80854271,13.28844221,0,0,0,0,0,23,23,0,0,0
4,230,8,21.50605494,22.10672899,0,46,23,46,0,92,115,92,69,138
4,230,2,35.0,5.5,138,115,207,276,230,621,598,598,483,874
4,231,5,271.3666667,0.0,46,138,0,23,23,138,23,46,46,23
4,231,3,17.18396705,12.26484519,46,23,46,23,23,69,23,46,46,46
4,231,2,31.0,5.5,322,391,345,368,161,736,483,460,299,414
4,232,3,8.604912067999999,6.376591874,506,1242,828,575,115,667,621,345,598,483
4,232,8,8.015766907,20.64756606,989,2576,1357,1012,621,920,1288,943,621,575
4,232,5,194.1333333,0.0,5865,15686,8809,7383,3312,8073,7475,6049,5359,4209
4,233,5,102.5666667,0.0,0,0,0,0,0,0,0,0,0,0
4,233,3,11.50104167,11.15382923,0,23,0,0,0,0,0,0,0,0
4,234,3,14.49207605,9.781709686000001,23,0,69,69,23,46,23,23,0,46
4,234,5,252.16666669999998,0.0,23,138,69,69,92,253,207,92,230,46
4,234,2,33.0,2.75,69,437,414,391,161,414,391,299,161,276
4,236,3,26.49241667,19.9875,23,23,23,0,0,23,92,0,0,46
4,236,8,24.62642933,18.06831049,46,69,23,23,0,69,115,92,69,92
4,236,2,38.0,5.5,230,575,299,230,115,621,644,483,345,782
4,237,2,35.0,5.5,115,207,69,161,0,184,184,46,23,115
4,241,8,26.91706349,13.205568,0,0,0,23,0,0,23,0,0,0
4,241,2,71.0,5.5,0,23,23,23,23,0,69,0,46,23
4,243,2,70.0,8.25,0,0,0,0,0,46,0,0,23,0
4,244,8,31.38635133,11.46652129,0,23,0,23,0,0,0,46,0,0
4,246,2,46.0,8.25,0,0,0,0,46,46,69,69,0,69
4,246,8,21.41426974,21.95603956,0,0,0,0,0,23,0,23,0,0
4,246,3,21.52176842,15.17755804,0,0,0,0,0,23,0,0,0,0
4,249,3,13.57251052,9.555750351,0,46,0,23,0,23,92,46,0,23
4,249,2,25.0,2.75,391,276,230,414,23,437,253,506,184,322
4,249,5,63.31666667,0.0,46,161,23,46,23,23,92,138,92,23
4,249,8,13.32982235,21.04193914,69,92,46,23,0,23,23,69,46,69
4,255,2,24.0,5.5,0,115,115,92,46,69,23,115,161,46
4,255,5,180.4,0.0,0,23,46,46,0,69,46,46,0,46
4,255,8,14.74499541,7.159160000000001,23,0,0,23,0,69,0,0,0,23
4,255,3,14.03117647,13.48823529,0,0,0,23,0,69,0,0,0,23
5,4,2,104.0,5.5,0,0,0,115,0,161,138,253,184,138
5,4,8,47.05,34.34525956,0,0,0,0,0,23,0,0,0,0
5,6,2,80.0,5.5,0,92,0,69,23,529,460,598,345,322
5,6,8,26.43543907,12.612160000000001,23,23,23,184,46,506,575,598,391,598
5,11,2,99.0,5.5,0,0,0,0,0,161,46,69,138,115
5,13,2,71.0,2.75,0,0,23,0,0,69,230,92,46,69
5,13,8,50.75945946,32.62196793,0,0,0,0,0,0,0,46,0,23
5,14,8,26.90169492,15.15056,0,23,0,0,23,161,115,69,92,115
5,14,2,91.0,5.5,0,23,69,46,46,161,115,138,184,184
5,21,8,48.11722222,15.00702896,0,0,0,0,23,0,23,69,0,0
5,22,8,34.471875,14.71872384,0,0,0,23,0,92,207,92,115,138
5,22,2,111.0,8.25,0,0,46,92,0,138,115,230,184,161
5,23,2,61.0,5.5,138,230,184,598,207,1334,1771,1840,2116,1978
5,23,8,15.21839866,15.3968,161,207,92,759,345,2001,2116,2714,2070,1955
5,26,2,105.0,8.25,23,0,23,46,46,23,46,92,46,92
5,26,8,41.94583333,15.46962822,0,0,23,0,0,92,46,138,46,46
5,33,8,57.93333333,17.54500282,0,0,0,0,184,253,207,276,322,207
5,44,5,273.0166667,0.0,23,0,0,69,23,161,230,276,115,253
5,44,2,53.0,2.75,230,1311,966,2047,483,4669,5382,6325,6348,6026
5,44,8,10.67566864,7.758434467000001,230,1012,920,1403,437,3105,4094,4876,3956,4830
5,45,2,83.0,5.5,23,69,115,207,46,552,483,644,529,621
5,49,2,98.0,5.5,0,0,0,0,0,0,23,23,0,23
5,53,8,61.68333333,26.2062765,0,0,0,0,0,0,23,0,23,0
5,53,2,139.0,11.0,0,0,0,0,0,0,92,23,0,23
5,61,2,104.0,5.5,0,0,23,69,0,115,115,161,115,207
5,61,8,41.45,18.76256451,0,0,0,46,0,46,276,92,92,69
5,65,2,82.0,5.5,253,276,207,667,391,1909,2668,3243,2461,2622
5,65,8,60.94404762,17.83154199,138,207,138,506,276,1495,1633,2530,1955,1932
5,67,8,35.3974359,14.12539674,0,0,0,0,23,92,138,115,0,46
5,67,2,106.0,5.5,0,23,23,23,46,69,115,115,230,69
5,68,8,66.27222222,34.82336566,0,0,0,0,0,0,0,23,0,0
5,68,2,87.0,5.5,0,0,0,0,0,0,23,92,23,69
5,75,8,45.75,23.33851607,0,23,0,0,0,0,0,0,0,23
5,75,2,103.0,8.25,0,23,0,92,0,69,46,92,184,46
5,83,8,49.0,22.80413835,0,0,23,23,0,92,0,23,23,46
5,84,5,252.33333330000002,0.0,46,644,414,1173,506,2898,2691,3956,2760,3197
5,84,8,7.962067175,6.561116469,414,1288,1334,3174,1127,6693,7314,9683,6601,7176
5,84,2,47.0,2.75,414,1288,1242,2622,943,6279,6739,8924,6279,7107
5,88,8,48.54841270000001,32.3585759,0,0,0,0,0,69,46,0,23,23
5,89,8,50.64666667,16.7988104,0,0,0,0,0,0,0,23,0,46
5,89,2,96.0,8.25,0,0,0,0,0,23,0,46,23,0
5,90,8,46.83333333,34.60608516,0,0,0,23,0,69,23,161,69,46
5,100,8,64.49444444,35.37659234,0,0,0,0,0,23,0,0,0,0
5,107,2,94.0,8.25,0,0,0,46,0,46,23,184,69,46
5,109,2,53.0,5.5,207,920,874,2139,552,3427,5727,5888,4347,5589
5,109,5,326.9,0.0,23,69,115,207,138,552,920,920,391,782
5,118,3,54.66666667,95.5,0,0,0,69,0,138,115,161,253,115
5,118,8,33.12766861,6.653760000000001,138,138,299,851,322,2070,2507,2829,2277,2714
5,118,2,53.0,5.5,161,253,391,828,506,2622,2921,3335,3427,2898
5,125,8,69.31111111,33.54344547,0,0,0,0,0,0,23,23,0,23
5,137,2,103.0,8.25,0,0,0,0,0,0,0,23,23,46
5,142,8,67.22916667,31.55862687,23,0,23,69,23,161,230,184,161,230
5,143,8,48.83333333,31.51386613,0,0,0,0,0,0,0,0,0,23
5,143,2,97.0,5.5,23,0,0,0,0,0,23,0,0,23
5,145,2,102.0,5.5,0,0,0,0,23,23,0,92,23,69
5,145,8,90.72777778,21.18630879,0,0,0,23,23,23,69,92,23,23
5,149,2,122.0,8.25,0,0,23,23,0,23,69,46,69,46
5,149,8,37.34166667,16.63103005,0,0,0,23,23,69,23,69,69,23
5,156,8,18.662938600000004,9.978859147,0,0,0,23,46,207,184,345,299,207
5,156,2,59.0,8.25,23,23,23,138,46,368,253,345,184,345
5,161,2,97.0,5.5,23,23,0,46,23,115,46,23,138,92
5,161,8,82.37685185,35.90455886,23,0,0,0,0,0,0,0,0,23
5,162,2,96.0,5.5,0,0,0,92,23,161,207,368,276,322
5,163,2,95.0,5.5,23,138,46,161,23,414,391,782,414,299
5,164,2,88.0,5.5,0,0,0,0,0,0,0,23,23,0
5,172,2,71.0,5.5,138,184,184,667,368,966,1886,1863,1541,1035
5,172,8,17.88109586,9.125354768,161,92,230,368,345,828,1288,1426,1173,1035
5,176,8,15.44774633,8.197014871,46,92,23,207,184,690,667,529,621,483
5,176,2,46.0,5.5,46,115,46,184,92,667,552,598,575,598
5,181,2,102.0,5.5,23,0,0,23,23,46,0,23,69,184
5,181,8,40.70107527,17.02592402,0,0,0,0,0,69,46,92,46,46
5,186,2,82.0,5.5,138,552,115,713,138,2047,1863,3197,1955,1564
5,186,8,52.03703704,35.03258308,23,69,0,161,0,69,138,322,138,230
5,187,8,20.40183081,10.18872214,0,0,0,0,0,23,0,0,23,0
5,196,2,136.0,5.5,46,23,0,0,23,92,69,138,92,92
5,204,5,192.18333330000002,0.0,92,943,506,1219,115,1886,2024,2967,2185,2254
5,204,2,8.0,2.75,138,690,506,1495,391,2599,2668,3151,2461,3128
5,206,8,31.457887699999997,11.67989321,23,0,23,161,46,276,483,368,368,368
5,206,2,76.0,5.5,46,0,23,115,69,207,391,667,506,437
5,209,8,50.05,32.85798224,0,0,0,46,0,0,0,69,23,0
5,209,2,83.0,5.5,0,23,0,69,23,207,138,161,184,161
